NO,Kelompok,Skor_DS,Skor_FOMO,Skor_DB,Norm_DS,Norm_FOMO,Norm_DB,Kategori_Aktual
346,Gamer,51,44,107,81.25,85,86.4583333333333,Tinggi
347,Gamer,51,43,106,81.25,82.5,85.4166666666667,Tinggi
348,Gamer,51,44,107,81.25,85,86.4583333333333,Tinggi
349,Gamer,52,45,108,83.3333333333333,87.5,87.5,Tinggi
350,Gamer,36,30,72,50,50,50,Sedang
351,Gamer,54,45,108,87.5,87.5,87.5,Tinggi
352,Gamer,54,45,108,87.5,87.5,87.5,Tinggi
353,Gamer,54,45,108,87.5,87.5,87.5,Tinggi
354,Gamer,53,43,106,85.4166666666667,82.5,85.4166666666667,Tinggi
355,Gamer,54,45,108,87.5,87.5,87.5,Tinggi
356,Gamer,52,44,108,83.3333333333333,85,87.5,Tinggi
357,Gamer,18,15,36,12.5,12.5,12.5,Rendah
358,Gamer,54,45,108,87.5,87.5,87.5,Tinggi
359,Gamer,53,45,109,85.4166666666667,87.5,88.5416666666667,Tinggi
360,Gamer,51,45,106,81.25,87.5,85.4166666666667,Tinggi
361,Gamer,54,45,108,87.5,87.5,87.5,Tinggi
362,Gamer,18,15,35,12.5,12.5,11.4583333333333,Rendah
363,Gamer,54,43,108,87.5,82.5,87.5,Tinggi
364,Gamer,54,45,107,87.5,87.5,86.4583333333333,Tinggi
365,Gamer,54,45,108,87.5,87.5,87.5,Tinggi
366,Gamer,21,14,35,18.75,10,11.4583333333333,Rendah
367,Gamer,54,45,108,87.5,87.5,87.5,Tinggi
368,Gamer,54,45,108,87.5,87.5,87.5,Tinggi
369,Gamer,55,45,106,89.5833333333333,87.5,85.4166666666667,Tinggi
370,Umum,49,44,106,77.0833333333333,85,85.4166666666667,Tinggi
371,Umum,52,41,103,83.3333333333333,77.5,82.2916666666667,Tinggi
372,Umum,49,41,104,77.0833333333333,77.5,83.3333333333333,Tinggi
373,Umum,53,40,106,85.4166666666667,75,85.4166666666667,Tinggi
374,Umum,52,41,105,83.3333333333333,77.5,84.375,Tinggi
375,Umum,52,44,101,83.3333333333333,85,80.2083333333333,Tinggi
376,Umum,53,44,109,85.4166666666667,85,88.5416666666667,Tinggi
377,Umum,52,44,104,83.3333333333333,85,83.3333333333333,Tinggi
378,Umum,51,44,108,81.25,85,87.5,Tinggi
379,Umum,22,17,40,20.8333333333333,17.5,16.6666666666667,Rendah
380,Gamer,50,45,108,79.1666666666667,87.5,87.5,Tinggi
381,Gamer,53,46,108,85.4166666666667,90,87.5,Tinggi
382,Gamer,52,45,108,83.3333333333333,87.5,87.5,Tinggi
383,Gamer,24,17,40,25,17.5,16.6666666666667,Rendah
384,Gamer,52,45,110,83.3333333333333,87.5,89.5833333333333,Tinggi
385,Gamer,52,45,108,83.3333333333333,87.5,87.5,Tinggi
386,Gamer,50,45,108,79.1666666666667,87.5,87.5,Tinggi
387,Gamer,19,16,57,14.5833333333333,15,34.375,Rendah
388,Gamer,27,14,88,31.25,10,66.6666666666667,Tinggi
389,Gamer,52,43,53,83.3333333333333,82.5,30.2083333333333,Rendah
390,Gamer,50,15,35,79.1666666666667,12.5,11.4583333333333,Rendah
391,Gamer,21,17,56,18.75,17.5,33.3333333333333,Rendah
392,Gamer,52,45,108,83.3333333333333,87.5,87.5,Tinggi
393,Gamer,52,18,41,83.3333333333333,20,17.7083333333333,Rendah
394,Gamer,22,17,40,20.8333333333333,17.5,16.6666666666667,Rendah
395,Gamer,52,17,87,83.3333333333333,17.5,65.625,Tinggi
396,Gamer,50,45,108,79.1666666666667,87.5,87.5,Tinggi
397,Gamer,52,45,108,83.3333333333333,87.5,87.5,Tinggi
398,Gamer,22,17,71,20.8333333333333,17.5,48.9583333333333,Sedang
399,Gamer,54,17,40,87.5,17.5,16.6666666666667,Rendah
400,Gamer,21,40,42,18.75,75,18.75,Rendah
